Experiment_type,code,tree_quality,species,quality,Nitrogen_added,mix_type,species_richness,number,litter_type_quality_tree_1,litter_type_quality_tree_2,quality_N,mesh_size,total_mass_g,sample_plot,plot,harvest,handling_loss_bags,handling_loss,initial_mass_g,Time_at_harvest,final_mass_g
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,1,4.996,4.995,NA,0.07 mm,9.991,R1,plot1,harvest1,NA,0.042,9.991,30,8.805
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,2,4.992,5.004,NA,0.07 mm,9.996,R2,plot1,harvest2,NA,0.042,9.996,60,4.611
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,3,5,5,NA,0.07 mm,10,R3,plot1,harvest3,NA,0.042,10,220,6.55
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,4,5,5,NA,0.07 mm,10,R4,plot1,harvest4,NA,0.042,10,365,4.781
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,5,5,5,NA,0.07 mm,10,R5,plot2,harvest1,NA,0.042,10,30,9.042
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,6,5,5.003,NA,0.07 mm,10.003,R6,plot2,harvest2,NA,0.042,10.003,60,8.754
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,7,5,5,NA,0.07 mm,10,R7,plot2,harvest3,NA,0.042,10,220,6.12
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,8,5,5.006,NA,0.07 mm,10.006,R8,plot2,harvest4,NA,0.042,10.006,365,5.453
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,9,5,5,NA,0.07 mm,10,R9,plot3,harvest1,NA,0.042,10,30,9.081
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,10,5,5,NA,0.07 mm,10,R10,plot3,harvest2,NA,0.042,10,60,8.571
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,11,5,5,NA,0.07 mm,10,R11,plot3,harvest3,NA,0.042,10,220,7.07
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,12,5,5,NA,0.07 mm,10,R12,plot3,harvest4,NA,0.042,10,365,1.206
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,13,4.998,5,NA,0.07 mm,9.998,,,,9.98,0.042,9.998,,NA
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,14,5,5,NA,0.07 mm,10,,,,10.06,0.042,10,,NA
A1,A1FT(L),Low,"Cb,Ga",low_N0,N_0,tree mixture,2,15,5,5,NA,0.07 mm,10,,,,10,0.042,10,,NA
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,1,4.03,4.001,20.005,5 mm,28.036,R1,plot1,harvest1,NA,-2.511,25.525,30,6.037
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,2,4.02,4.05,20.02,5 mm,28.09,R2,plot1,harvest2,NA,-2.511,25.579,60,0
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,3,3.998,4.039,20.031,5 mm,28.068,R3,plot1,harvest3,NA,-2.511,25.557,220,2.62
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,4,4.02,4.012,20,5 mm,28.032,R4,plot1,harvest4,NA,-2.511,25.521,365,3.044
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,5,4.025,3.992,20.051,5 mm,28.068,R5,plot2,harvest1,NA,-2.511,25.557,30,5.468
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,6,4.008,4,20.003,5 mm,28.011,R6,plot2,harvest2,NA,-2.511,25.5,60,0.778
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,7,4.035,4.014,20.004,5 mm,28.053,R7,plot2,harvest3,NA,-2.511,25.542,220,0.35
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,8,4.053,4.014,20.02,5 mm,28.087,R8,plot2,harvest4,NA,-2.511,25.576,365,2.876
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,9,4.071,4.06,20.034,5 mm,28.165,R9,plot3,harvest1,NA,-2.511,25.654,30,4.912
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,10,4.045,4.025,20.051,5 mm,28.121,R10,plot3,harvest2,NA,-2.511,25.61,60,2.592
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,11,3.992,4.04,20.01,5 mm,28.042,R11,plot3,harvest3,NA,-2.511,25.531,220,4.89
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,12,4.076,4.019,20.07,5 mm,28.165,R12,plot3,harvest4,NA,-2.511,25.654,365,2.876
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,13,4.04,4.07,20,5 mm,28.11,,,,25.949,-2.511,25.599,,NA
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,14,4.047,3.999,20.086,5 mm,28.132,,,,24.474,-2.511,25.621,,NA
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,15,4.033,4.016,19.98,5 mm,28.029,,,,26.316,-2.511,25.518,,NA
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,1,4.07,4.04,20.053,2 mm,28.163,R1,plot1,harvest1,NA,-1.452,26.711,30,5.148
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,2,4.03,4.033,19.99,2 mm,28.053,R2,plot1,harvest2,NA,-1.452,26.601,60,5.394
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,3,4.01,3.99,20.02,2 mm,28.02,R3,plot1,harvest3,NA,-1.452,26.568,220,3.98
A2,A2LH,Low,"Cb,Ga",low_N20,N_20,tree mixture,2,4,4.001,4.016,20,2 mm,28.017,R4,plot1,harvest4,NA,-1.452,26.565,365,1.271
